bench-press
squat
deadlift
shoulder-press
dumbbell-bench-press
dumbbell-curl
sled-leg-press
barbell-curl
incline-dumbbell-bench-press
incline-bench-press
bent-over-row
dumbbell-shoulder-press
lat-pulldown
front-squat
hex-bar-deadlift
hip-thrust
dumbbell-lateral-raise
leg-extension
romanian-deadlift
power-clean
horizontal-leg-press
dumbbell-row
military-press
sumo-deadlift
chest-press
tricep-pushdown
hammer-curl
seated-cable-row
sit-ups
seated-dumbbell-shoulder-press
machine-shoulder-press
machine-chest-fly
dumbbell-bulgarian-split-squat
seated-leg-curl
ez-bar-curl
lying-tricep-extension
close-grip-bench-press
